id,careers,courses
1832,HR Generalist,Bachelor of Social and Behavioural Science With Major in Psychology
1833,HR Generalist,BACHELORS (HONOURS) WITH PSYCHOLOGY AS MAJOR
1834,HR Generalist,Bachelor of Arts Psychology (Hons)
1835,HR Generalist,BA Psychology
1836,Interpreters and Translators,Bachelor of Arts & Humanities With Major in English/English Literature
1837,Interpreters and Translators,BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR
1838,Interpreters and Translators,Bachelor of Arts English (Hons)
1839,Interpreters and Translators,Bachelor of Arts English Literature (Hons)
1840,Interpreters and Translators,Bachelor of Arts in English Literature (Honours)
1841,Interpreters and Translators,Bachelor of Arts in English Literature (Honours) Self Financed
1842,Interpreters and Translators,BA English Literature
1843,Interpreters and Translators,Bachelor of Arts & Humanties with Major in Arabic
1844,Interpreters and Translators,BACHELORS (HONOURS) WITH ARABIC LITERATURE AS MAJOR
1845,Interpreters and Translators,Bachelor of Arts Arabic (Hons)
1846,Interpreters and Translators,Bachelor of Arts & Humanities With Major in Hindi
1847,Interpreters and Translators,BACHELORS (HONOURS) WITH HINDI LITERATURE AS MAJOR
1848,Interpreters and Translators,BA Hindi Literature
1849,Interpreters and Translators,Bachelor of Arts & Humanities With Major in Urdu
1850,Interpreters and Translators,BACHELORS (HONOURS) WITH URDU LITERATURE AS MAJOR
1851,Interpreters and Translators,Bachelor of Arts Urdu (Hons)
1852,Interpreters and Translators,BA Urdu
1853,Interpreters and Translators,Bachelor of Arts & Humanities With Major in Persian
1854,Interpreters and Translators,BACHELORS (HONOURS) WITH PERSIAN LITERATURE AS MAJOR
1855,Interpreters and Translators,BACHELORS (HONOURS) WITH SPOKEN PERSIAN AS MAJOR
1856,Interpreters and Translators,Bachelor of Arts & Humanities With Major in Sanskrit
1857,Interpreters and Translators,BA Sanskrit
1858,Interpreters and Translators,Bachelor of Arts & Humanities With Major in Punjabi
1859,Interpreters and Translators,BACHELORS (HONOURS) WITH PUNJABI LITERATURE AS MAJOR
1860,Interpreters and Translators,BA Punjabi Literature
1861,Office Administrator,Bachelor of Commerce With Major in Business Studies
1862,Office Administrator,Bachelor of Management with Major in Business Management
1863,Office Administrator,BACHELORS (HONOURS) WITH BUSINESS ADMINISTRATION AS MAJOR
1864,Office Administrator,Bachelor of business Administration (Hons)
1865,Office Administrator,Bachelor of Business Administration (Honours)
1866,Office Administrator,Bachelor of Business Administration (Honours) Self Financed
1867,Office Administrator,Bachelor of Commerce (Hons)
1868,Office Administrator,BACHELORS (HONOURS) WITH MANAGEMENT (COMMERCE) AS MAJOR
1869,Office Administrator,Bachelor of Commerce
1870,Office Administrator,Bachelor of Social and Behavioural Science With Major in Public Administration
1871,Office Administrator,BACHELORS (HONOURS) WITH PUBLIC ADMINISTRATION AS MAJOR
1872,Office Administrator,Bachelor of Arts Public Administration (Hons)
1873,Office Administrator,BA Public Administration
1874,Office Administrator,Bachelor of Science With Major in Computer Application
1875,Office Administrator,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR
1876,Office Administrator,Bachelor of Computer Applications (Hons)
1877,Office Administrator,Bachelor of Computer Application (Hons)
1878,Office Administrator,Bachelor of Computer Applications (Honours)
1879,Office Administrator,Bachelor of Computer Applications (Honours) Self Financed
1880,Office Administrator,B.Sc Computer Applications
1881,Office Administrator,Bachelor of Computer Applications
1882,Office Administrator,Bachelor of Computer Applications Self Financed
1883,Pharmacy Technicians / Aides,Bachelor of Science with Major in Biochemistry
1884,Pharmacy Technicians / Aides,BACHELORS (HONOURS) WITH CLINICAL BIO-CHEMISTRY AS MAJOR
1885,Pharmacy Technicians / Aides,BACHELORS (HONOURS) WITH BIO-CHEMISTRY AS MAJOR
1886,Pharmacy Technicians / Aides,Bachelor of Science Bio-Chemistry (Hons)
1887,Pharmacy Technicians / Aides,Bachelor of Science Clinical Bio-Chemistry (Hons)
1888,Pharmacy Technicians / Aides,Bachelor of Science in Bio-Chemistry (Honours)
1889,Pharmacy Technicians / Aides,Bachelor of Science in Bio-Chemistry (Honours) Self Financed
1890,Pharmacy Technicians / Aides,Bachelor of Science Biochemistry (Hons)
1891,Pharmacy Technicians / Aides,Bachelor of Science with Major in Biotechnology
1892,Pharmacy Technicians / Aides,BACHELORS (HONOURS) WITH BIO-TECHNOLOGY AS MAJOR
1893,Pharmacy Technicians / Aides,Bachelor of Science Biotechnology (Hons)
1894,Pharmacy Technicians / Aides,Bachelor of Science in Biotechnology (Honours)
1895,Pharmacy Technicians / Aides,Bachelor of Science in Biotechnology (Honours) Self Financed
1896,Pharmacy Technicians / Aides,BSc Biotechnology
1897,Pharmacy Technicians / Aides,BSc in Biotechnology
1898,Project and Technical Managers,Bachelor of Commerce With Major in Business Studies
1899,Project and Technical Managers,Bachelor of Management with Major in Business Management
1900,Project and Technical Managers,BACHELORS (HONOURS) WITH BUSINESS ADMINISTRATION AS MAJOR
1901,Project and Technical Managers,Bachelor of business Administration (Hons)
1902,Project and Technical Managers,Bachelor of Business Administration (Honours)
1903,Project and Technical Managers,Bachelor of Business Administration (Honours) Self Financed
1904,Project and Technical Managers,Bachelor of Science With Major in Computer Application
1905,Project and Technical Managers,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR
1906,Project and Technical Managers,Bachelor of Computer Applications (Hons)
1907,Project and Technical Managers,Bachelor of Computer Application (Hons)
1908,Project and Technical Managers,Bachelor of Computer Applications (Honours)
1909,Project and Technical Managers,Bachelor of Computer Applications (Honours) Self Financed
1910,Project and Technical Managers,B.Sc Computer Applications
1911,Project and Technical Managers,Bachelor of Computer Applications
1912,Project and Technical Managers,Bachelor of Computer Applications Self Financed
1913,Project and Technical Managers,Bachelor of Science With Major in Information Technology
1914,Project and Technical Managers,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR
1915,Project and Technical Managers,Bachelor of Science Information Technology (Hons)
1916,Project and Technical Managers,Bachelor of Science in Information Technology (Honours)
1917,Project and Technical Managers,Bachelor of Science in Information Technology (Honours) Self Financed
1918,Project and Technical Managers,Bachelor of Science With Major in Mathematics
1919,Project and Technical Managers,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
1920,Project and Technical Managers,Bachelor of Science Mathematics (Hons)
1921,Project and Technical Managers,Bachelor of Arts/Science Mathematics (Hons)
1922,Project and Technical Managers,Bachelor of Science in Mathematics (Honours)
1923,Project and Technical Managers,Bachelor of Science in Mathematics (Honours) Self Financed
1924,Project and Technical Managers,5 Year Integrated Programme in Mathematics
1925,Project and Technical Managers,BSc Mathematics
1926,Project and Technical Managers,BSc in Mathematics
1927,Project and Technical Managers,Bachelor of Science With Major in Statistics
1928,Project and Technical Managers,BACHELORS (HONOURS) WITH STATISTICS AS MAJOR
1929,Project and Technical Managers,Bachelor of Science Statistics (Hons)
1930,Project and Technical Managers,Bachelor of Arts/Science Statistics (Hons)
1931,Records Manager,Bachelor of Social and Behavioural Science With Major in Library Science
1932,Records Manager,Bachelor of Science With Major in Information Technology
1933,Records Manager,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR
1934,Records Manager,Bachelor of Science Information Technology (Hons)
1935,Records Manager,Bachelor of Science in Information Technology (Honours)
1936,Records Manager,Bachelor of Science in Information Technology (Honours) Self Financed
1937,Records Manager,Bachelor of Science With Major in Computer Application
1938,Records Manager,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR
1939,Records Manager,Bachelor of Computer Applications (Hons)
1940,Records Manager,Bachelor of Computer Application (Hons)
1941,Records Manager,Bachelor of Computer Applications (Honours)
1942,Records Manager,Bachelor of Computer Applications (Honours) Self Financed
1943,Records Manager,B.Sc Computer Applications
1944,Records Manager,Bachelor of Computer Applications
1945,Records Manager,Bachelor of Computer Applications Self Financed
1946,Statisticians,Bachelor of Science With Major in Statistics
1947,Statisticians,BACHELORS (HONOURS) WITH STATISTICS AS MAJOR
1948,Statisticians,Bachelor of Science Statistics (Hons)
1949,Statisticians,Bachelor of Arts/Science Statistics (Hons)
1950,Statisticians,Bachelor of Science With Major in Mathematics
1951,Statisticians,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
1952,Statisticians,Bachelor of Science Mathematics (Hons)
1953,Statisticians,Bachelor of Arts/Science Mathematics (Hons)
1954,Statisticians,Bachelor of Science in Mathematics (Honours)
1955,Statisticians,Bachelor of Science in Mathematics (Honours) Self Financed
1956,Statisticians,5 Year Integrated Programme in Mathematics
1957,Statisticians,BSc Mathematics
1958,Statisticians,BSc in Mathematics
1959,Cost Estimators,Bachelor of Science With Major in Mathematics
1960,Cost Estimators,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
1961,Cost Estimators,Bachelor of Science Mathematics (Hons)
1962,Cost Estimators,Bachelor of Arts/Science Mathematics (Hons)
1963,Cost Estimators,Bachelor of Science in Mathematics (Honours)
1964,Cost Estimators,Bachelor of Science in Mathematics (Honours) Self Financed
1965,Cost Estimators,5 Year Integrated Programme in Mathematics
1966,Cost Estimators,BSc Mathematics
1967,Cost Estimators,BSc in Mathematics
1968,Cost Estimators,Bachelor of Science With Major in Statistics
1969,Cost Estimators,BACHELORS (HONOURS) WITH STATISTICS AS MAJOR
1970,Cost Estimators,Bachelor of Science Statistics (Hons)
1971,Cost Estimators,Bachelor of Arts/Science Statistics (Hons)
1972,Cost Estimators,Bachelor of Commerce With Major in Business Studies
1973,Cost Estimators,Bachelor of Management with Major in Business Management
1974,Cost Estimators,BACHELORS (HONOURS) WITH BUSINESS ADMINISTRATION AS MAJOR
1975,Cost Estimators,Bachelor of business Administration (Hons)
1976,Cost Estimators,Bachelor of Business Administration (Honours)
1977,Cost Estimators,Bachelor of Business Administration (Honours) Self Financed
1978,Cost Estimators,Bachelor of Commerce (Hons)
1979,Cost Estimators,BACHELORS (HONOURS) WITH MANAGEMENT (COMMERCE) AS MAJOR
1980,Cost Estimators,Bachelor of Commerce
1981,"Fraud Examiners, Investigators and Analysts",BACHELORS (HONOURS) WITH ACCOUNTING & TAXATION (COMMERCE) AS MAJOR
1982,"Fraud Examiners, Investigators and Analysts",Bachelor of Commerce in Accounting & Taxation (Hons)
1983,"Fraud Examiners, Investigators and Analysts",Bachelor of Commerce in Accounting & Taxation (Honours)
1984,"Fraud Examiners, Investigators and Analysts",Bachelor of Commerce in Accounting & Taxation (Honours) Self Financed
1985,"Fraud Examiners, Investigators and Analysts",Bachelor of Commerce (Hons)
1986,"Fraud Examiners, Investigators and Analysts",BACHELORS (HONOURS) WITH MANAGEMENT (COMMERCE) AS MAJOR
1987,"Fraud Examiners, Investigators and Analysts",Bachelor of Commerce
1988,"Fraud Examiners, Investigators and Analysts",Bachelor of Commerce With Major in Accounting and Finance
1989,"Fraud Examiners, Investigators and Analysts",Bachelor of Business Administration in Financial Management (Hons)
1990,"Fraud Examiners, Investigators and Analysts",Bachelor of Commerce in Finance (Hons)
1991,"Fraud Examiners, Investigators and Analysts",Bachelor of Commerce in Finance (Honours)
1992,"Fraud Examiners, Investigators and Analysts",Bachelor of Commerce in Finance (Honours) Self Financed
1993,"Fraud Examiners, Investigators and Analysts",BACHELORS (HONOURS) WITH COMMERCE (FINANCE) AS MAJOR
1994,"Fraud Examiners, Investigators and Analysts",Bachelor of Social and Behavioral Science With Major in Economics
1995,"Fraud Examiners, Investigators and Analysts",BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR
1996,"Fraud Examiners, Investigators and Analysts",Bachelor of Arts Economics (Hons)
1997,"Fraud Examiners, Investigators and Analysts",Bachelor of Arts in Economics (Honours)
1998,"Fraud Examiners, Investigators and Analysts",Bachelor of Arts in Economics (Honours) Self Financed
1999,"Fraud Examiners, Investigators and Analysts",BA Economics
2000,"Fraud Examiners, Investigators and Analysts",Bachelor of Science With Major in Statistics
2001,"Fraud Examiners, Investigators and Analysts",BACHELORS (HONOURS) WITH STATISTICS AS MAJOR
2002,"Fraud Examiners, Investigators and Analysts",Bachelor of Science Statistics (Hons)
2003,"Fraud Examiners, Investigators and Analysts",Bachelor of Arts/Science Statistics (Hons)
2004,Credit Analysts,Bachelor of Commerce With Major in Accounting and Finance
2005,Credit Analysts,Bachelor of Business Administration in Financial Management (Hons)
2006,Credit Analysts,Bachelor of Commerce in Finance (Hons)
2007,Credit Analysts,Bachelor of Commerce in Finance (Honours)
2008,Credit Analysts,Bachelor of Commerce in Finance (Honours) Self Financed
2009,Credit Analysts,BACHELORS (HONOURS) WITH COMMERCE (FINANCE) AS MAJOR
2010,Credit Analysts,Bachelor of Social and Behavioral Science With Major in Economics
2011,Credit Analysts,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR
2012,Credit Analysts,Bachelor of Arts Economics (Hons)
2013,Credit Analysts,Bachelor of Arts in Economics (Honours)
2014,Credit Analysts,Bachelor of Arts in Economics (Honours) Self Financed
2015,Credit Analysts,BA Economics
2016,Credit Analysts,Bachelor of Commerce (Hons)
2017,Credit Analysts,BACHELORS (HONOURS) WITH MANAGEMENT (COMMERCE) AS MAJOR
2018,Credit Analysts,Bachelor of Commerce
2019,Credit Analysts,BACHELORS (HONOURS) WITH ACCOUNTING & TAXATION (COMMERCE) AS MAJOR
2020,Credit Analysts,Bachelor of Commerce in Accounting & Taxation (Hons)
2021,Credit Analysts,Bachelor of Commerce in Accounting & Taxation (Honours)
2022,Credit Analysts,Bachelor of Commerce in Accounting & Taxation (Honours) Self Financed
2023,Credit Analysts,Bachelor of Science With Major in Statistics
2024,Credit Analysts,BACHELORS (HONOURS) WITH STATISTICS AS MAJOR
2025,Credit Analysts,Bachelor of Science Statistics (Hons)
2026,Credit Analysts,Bachelor of Arts/Science Statistics (Hons)
2027,Regulatory Affairs Specialists,Bachelor of Social and Behavioural Science With Major in Political Science
2028,Regulatory Affairs Specialists,BACHELORS (HONOURS) WITH POLITICAL SCIENCE AS MAJOR
2029,Regulatory Affairs Specialists,Bachelor of Arts Political Science (Hons)
2030,Regulatory Affairs Specialists,BA Political Science
2031,Regulatory Affairs Specialists,Bachelor of Social and Behavioral Science With Major in Economics
2032,Regulatory Affairs Specialists,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR
2033,Regulatory Affairs Specialists,Bachelor of Arts Economics (Hons)
2034,Regulatory Affairs Specialists,Bachelor of Arts in Economics (Honours)
2035,Regulatory Affairs Specialists,Bachelor of Arts in Economics (Honours) Self Financed
2036,Regulatory Affairs Specialists,BA Economics
2037,Regulatory Affairs Specialists,Bachelor of Commerce With Major in Business Studies
2038,Regulatory Affairs Specialists,Bachelor of Management with Major in Business Management
2039,Regulatory Affairs Specialists,BACHELORS (HONOURS) WITH BUSINESS ADMINISTRATION AS MAJOR
2040,Regulatory Affairs Specialists,Bachelor of business Administration (Hons)
2041,Regulatory Affairs Specialists,Bachelor of Business Administration (Honours)
2042,Regulatory Affairs Specialists,Bachelor of Business Administration (Honours) Self Financed
2043,Regulatory Affairs Specialists,Bachelor of Science With Major in Environmental Science
2044,Regulatory Affairs Specialists,BACHELORS (HONOURS) WITH ENVIRONMENTAL SCIENCE AS MAJOR
2045,Regulatory Affairs Specialists,Bachelor of Science Environmental Science (Hons)
2046,Business Intelligence Analysts,Bachelor of Science With Major in Statistics
2047,Business Intelligence Analysts,BACHELORS (HONOURS) WITH STATISTICS AS MAJOR
2048,Business Intelligence Analysts,Bachelor of Science Statistics (Hons)
2049,Business Intelligence Analysts,Bachelor of Arts/Science Statistics (Hons)
2050,Business Intelligence Analysts,Bachelor of Science With Major in Mathematics
2051,Business Intelligence Analysts,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
2052,Business Intelligence Analysts,Bachelor of Science Mathematics (Hons)
2053,Business Intelligence Analysts,Bachelor of Arts/Science Mathematics (Hons)
2054,Business Intelligence Analysts,Bachelor of Science in Mathematics (Honours)
2055,Business Intelligence Analysts,Bachelor of Science in Mathematics (Honours) Self Financed
2056,Business Intelligence Analysts,5 Year Integrated Programme in Mathematics
2057,Business Intelligence Analysts,BSc Mathematics
2058,Business Intelligence Analysts,BSc in Mathematics
2059,Business Intelligence Analysts,Bachelor of Science With Major in Information Technology
2060,Business Intelligence Analysts,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR
2061,Business Intelligence Analysts,Bachelor of Science Information Technology (Hons)
2062,Business Intelligence Analysts,Bachelor of Science in Information Technology (Honours)
2063,Business Intelligence Analysts,Bachelor of Science in Information Technology (Honours) Self Financed
2064,Business Intelligence Analysts,Bachelor of Science With Major in Computer Application
2065,Business Intelligence Analysts,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR
2066,Business Intelligence Analysts,Bachelor of Computer Applications (Hons)
2067,Business Intelligence Analysts,Bachelor of Computer Application (Hons)
2068,Business Intelligence Analysts,Bachelor of Computer Applications (Honours)
2069,Business Intelligence Analysts,Bachelor of Computer Applications (Honours) Self Financed
2070,Business Intelligence Analysts,B.Sc Computer Applications
2071,Business Intelligence Analysts,Bachelor of Computer Applications
2072,Business Intelligence Analysts,Bachelor of Computer Applications Self Financed
2073,Business Intelligence Analysts,Bachelor of Commerce With Major in Business Studies
2074,Business Intelligence Analysts,Bachelor of Management with Major in Business Management
2075,Business Intelligence Analysts,BACHELORS (HONOURS) WITH BUSINESS ADMINISTRATION AS MAJOR
2076,Business Intelligence Analysts,Bachelor of business Administration (Hons)
2077,Business Intelligence Analysts,Bachelor of Business Administration (Honours)
2078,Business Intelligence Analysts,Bachelor of Business Administration (Honours) Self Financed
2079,Customs and Border Protection Officers,Bachelor of Social and Behavioural Science With Major in Political Science
2080,Customs and Border Protection Officers,BACHELORS (HONOURS) WITH POLITICAL SCIENCE AS MAJOR
2081,Customs and Border Protection Officers,Bachelor of Arts Political Science (Hons)
2082,Customs and Border Protection Officers,BA Political Science
2083,Customs and Border Protection Officers,Bachelor of Social and Behavioural Science With Major in History
2084,Customs and Border Protection Officers,BACHELORS (HONOURS) WITH HISTORY AS MAJOR
2085,Customs and Border Protection Officers,Bachelor of Arts History (Hons)
2086,Customs and Border Protection Officers,BA History
2087,Customs and Border Protection Officers,Bachelor of Social and Behavioural Science With Major in Sociology
2088,Customs and Border Protection Officers,BACHELORS (HONOURS) WITH SOCIOLOGY AS MAJOR
2089,Customs and Border Protection Officers,Bachelor of Arts Sociology (Hons)
2090,Customs and Border Protection Officers,BA Sociology
2091,Legal Secretaries and Administrative Assistants,Bachelor of Arts & Humanities With Major in English/English Literature
2092,Legal Secretaries and Administrative Assistants,BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR
2093,Legal Secretaries and Administrative Assistants,Bachelor of Arts English (Hons)
2094,Legal Secretaries and Administrative Assistants,Bachelor of Arts English Literature (Hons)
2095,Legal Secretaries and Administrative Assistants,Bachelor of Arts in English Literature (Honours)
2096,Legal Secretaries and Administrative Assistants,Bachelor of Arts in English Literature (Honours) Self Financed
2097,Legal Secretaries and Administrative Assistants,BA English Literature
2098,Legal Secretaries and Administrative Assistants,Bachelor of Social and Behavioural Science With Major in Public Administration
2099,Legal Secretaries and Administrative Assistants,BACHELORS (HONOURS) WITH PUBLIC ADMINISTRATION AS MAJOR
2100,Legal Secretaries and Administrative Assistants,Bachelor of Arts Public Administration (Hons)
2101,Legal Secretaries and Administrative Assistants,BA Public Administration
2102,Legal Secretaries and Administrative Assistants,Bachelor of Science With Major in Computer Application
2103,Legal Secretaries and Administrative Assistants,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR
2104,Legal Secretaries and Administrative Assistants,Bachelor of Computer Applications (Hons)
2105,Legal Secretaries and Administrative Assistants,Bachelor of Computer Application (Hons)
2106,Legal Secretaries and Administrative Assistants,Bachelor of Computer Applications (Honours)
2107,Legal Secretaries and Administrative Assistants,Bachelor of Computer Applications (Honours) Self Financed
2108,Legal Secretaries and Administrative Assistants,B.Sc Computer Applications
2109,Legal Secretaries and Administrative Assistants,Bachelor of Computer Applications
2110,Legal Secretaries and Administrative Assistants,Bachelor of Computer Applications Self Financed
2111,Web Developers,Bachelor of Science With Major in Computer Application
2112,Web Developers,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR
2113,Web Developers,Bachelor of Computer Applications (Hons)
2114,Web Developers,Bachelor of Computer Application (Hons)
2115,Web Developers,Bachelor of Computer Applications (Honours)
2116,Web Developers,Bachelor of Computer Applications (Honours) Self Financed
2117,Web Developers,B.Sc Computer Applications
2118,Web Developers,Bachelor of Computer Applications
2119,Web Developers,Bachelor of Computer Applications Self Financed
2120,Web Developers,Bachelor of Science With Major in Information Technology
2121,Web Developers,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR
2122,Web Developers,Bachelor of Science Information Technology (Hons)
2123,Web Developers,Bachelor of Science in Information Technology (Honours)
2124,Web Developers,Bachelor of Science in Information Technology (Honours) Self Financed
2125,Web Developers,BACHELORS (HONOURS) WITH MASS COMMUNICATION AND MULTIMEDIA PRODUCTION AS MAJOR
2126,Web Developers,Bachelor of Multimedia and Mass Communication
2127,Web Developers,Bachelor of Arts Journalism & Mass Communication (Hons)
2128,Web Developers,BA Mass Communication and Multimedia Production
2129,Archivists,Bachelor of Social and Behavioural Science With Major in Library Science
2130,Archivists,Bachelor of Social and Behavioural Science With Major in History
2131,Archivists,BACHELORS (HONOURS) WITH HISTORY AS MAJOR
2132,Archivists,Bachelor of Arts History (Hons)
2133,Archivists,BA History
2134,Archivists,Bachelor of Social and Behavioural Science With Major in Sociology
2135,Archivists,BACHELORS (HONOURS) WITH SOCIOLOGY AS MAJOR
2136,Archivists,Bachelor of Arts Sociology (Hons)
2137,Archivists,BA Sociology
2138,Computer Programmers,Bachelor of Science With Major in Computer Application
2139,Computer Programmers,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR
2140,Computer Programmers,Bachelor of Computer Applications (Hons)
2141,Computer Programmers,Bachelor of Computer Application (Hons)
2142,Computer Programmers,Bachelor of Computer Applications (Honours)
2143,Computer Programmers,Bachelor of Computer Applications (Honours) Self Financed
2144,Computer Programmers,B.Sc Computer Applications
2145,Computer Programmers,Bachelor of Computer Applications
2146,Computer Programmers,Bachelor of Computer Applications Self Financed
2147,Computer Programmers,Bachelor of Science With Major in Information Technology
2148,Computer Programmers,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR
2149,Computer Programmers,Bachelor of Science Information Technology (Hons)
2150,Computer Programmers,Bachelor of Science in Information Technology (Honours)
2151,Computer Programmers,Bachelor of Science in Information Technology (Honours) Self Financed
2152,Computer Programmers,Bachelor of Science With Major in Mathematics
2153,Computer Programmers,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
2154,Computer Programmers,Bachelor of Science Mathematics (Hons)
2155,Computer Programmers,Bachelor of Arts/Science Mathematics (Hons)
2156,Computer Programmers,Bachelor of Science in Mathematics (Honours)
2157,Computer Programmers,Bachelor of Science in Mathematics (Honours) Self Financed
2158,Computer Programmers,5 Year Integrated Programme in Mathematics
2159,Computer Programmers,BSc Mathematics
2160,Computer Programmers,BSc in Mathematics
2161,Logisticians,Bachelor of Commerce With Major in Business Studies
2162,Logisticians,Bachelor of Management with Major in Business Management
2163,Logisticians,BACHELORS (HONOURS) WITH BUSINESS ADMINISTRATION AS MAJOR
2164,Logisticians,Bachelor of business Administration (Hons)
2165,Logisticians,Bachelor of Business Administration (Honours)
2166,Logisticians,Bachelor of Business Administration (Honours) Self Financed
2167,Logisticians,Bachelor of Commerce (Hons)
2168,Logisticians,BACHELORS (HONOURS) WITH MANAGEMENT (COMMERCE) AS MAJOR
2169,Logisticians,Bachelor of Commerce
2170,Logisticians,Bachelor of Science With Major in Mathematics
2171,Logisticians,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
2172,Logisticians,Bachelor of Science Mathematics (Hons)
2173,Logisticians,Bachelor of Arts/Science Mathematics (Hons)
2174,Logisticians,Bachelor of Science in Mathematics (Honours)
2175,Logisticians,Bachelor of Science in Mathematics (Honours) Self Financed
2176,Logisticians,5 Year Integrated Programme in Mathematics
2177,Logisticians,BSc Mathematics
2178,Logisticians,BSc in Mathematics
2179,Logisticians,Bachelor of Science With Major in Statistics
2180,Logisticians,BACHELORS (HONOURS) WITH STATISTICS AS MAJOR
2181,Logisticians,Bachelor of Science Statistics (Hons)
2182,Logisticians,Bachelor of Arts/Science Statistics (Hons)
2183,Web Administrators,Bachelor of Science With Major in Information Technology
2184,Web Administrators,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR
2185,Web Administrators,Bachelor of Science Information Technology (Hons)
2186,Web Administrators,Bachelor of Science in Information Technology (Honours)
2187,Web Administrators,Bachelor of Science in Information Technology (Honours) Self Financed
2188,Web Administrators,Bachelor of Science With Major in Computer Application
2189,Web Administrators,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR
2190,Web Administrators,Bachelor of Computer Applications (Hons)
2191,Web Administrators,Bachelor of Computer Application (Hons)
2192,Web Administrators,Bachelor of Computer Applications (Honours)
2193,Web Administrators,Bachelor of Computer Applications (Honours) Self Financed
2194,Web Administrators,B.Sc Computer Applications
2195,Web Administrators,Bachelor of Computer Applications
2196,Web Administrators,Bachelor of Computer Applications Self Financed
2197,Database Architects,Bachelor of Science With Major in Information Technology
2198,Database Architects,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR
2199,Database Architects,Bachelor of Science Information Technology (Hons)
2200,Database Architects,Bachelor of Science in Information Technology (Honours)
2201,Database Architects,Bachelor of Science in Information Technology (Honours) Self Financed
2202,Database Architects,Bachelor of Science With Major in Computer Application
2203,Database Architects,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR
2204,Database Architects,Bachelor of Computer Applications (Hons)
2205,Database Architects,Bachelor of Computer Application (Hons)
2206,Database Architects,Bachelor of Computer Applications (Honours)
2207,Database Architects,Bachelor of Computer Applications (Honours) Self Financed
2208,Database Architects,B.Sc Computer Applications
2209,Database Architects,Bachelor of Computer Applications
2210,Database Architects,Bachelor of Computer Applications Self Financed
2211,Database Architects,Bachelor of Science With Major in Mathematics
2212,Database Architects,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
2213,Database Architects,Bachelor of Science Mathematics (Hons)
2214,Database Architects,Bachelor of Arts/Science Mathematics (Hons)
2215,Database Architects,Bachelor of Science in Mathematics (Honours)
2216,Database Architects,Bachelor of Science in Mathematics (Honours) Self Financed
2217,Database Architects,5 Year Integrated Programme in Mathematics
2218,Database Architects,BSc Mathematics
2219,Database Architects,BSc in Mathematics
2220,Database Architects,Bachelor of Science With Major in Statistics
2221,Database Architects,BACHELORS (HONOURS) WITH STATISTICS AS MAJOR
2222,Database Architects,Bachelor of Science Statistics (Hons)
2223,Database Architects,Bachelor of Arts/Science Statistics (Hons)
2224,Chief Executives,Bachelor of Commerce With Major in Business Studies
2225,Chief Executives,Bachelor of Management with Major in Business Management
2226,Chief Executives,BACHELORS (HONOURS) WITH BUSINESS ADMINISTRATION AS MAJOR
2227,Chief Executives,Bachelor of business Administration (Hons)
2228,Chief Executives,Bachelor of Business Administration (Honours)
2229,Chief Executives,Bachelor of Business Administration (Honours) Self Financed
2230,Chief Executives,Bachelor of Commerce (Hons)
2231,Chief Executives,BACHELORS (HONOURS) WITH MANAGEMENT (COMMERCE) AS MAJOR
2232,Chief Executives,Bachelor of Commerce
2233,Chief Executives,Bachelor of Social and Behavioral Science With Major in Economics
2234,Chief Executives,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR
