Aishe Code,Name,District,State,Website,Year Of Establishment,Location,College Type,Manegement,University Aishe Code,University Name,University Type,For_girls
C-21440,Government Degree College Ganderbal,Ganderbal,Jammu and Kashmir,www.gdcganderbal.edu.in,2002,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-63673,Government Degree College Ghagwal,Samba,Jammu and Kashmir,https://gdcghagwal.co.in/,2019,Urban,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-21437,Government Degree College Gurez,Bandipora,Jammu and Kashmir,,2008,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-48524,Government Degree College Hadipora,Baramulla,Jammu and Kashmir,gdchadipora.edu.in,2011,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-64539,Government Degree College Hajin,Bandipora,Jammu and Kashmir,,2019,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-21418,Government Degree College Handwara,Kupwara,Jammu and Kashmir,www.gdchandwara.edu.in,1988,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-23020,Government Degree College Hiranagar,Kathua,Jammu and Kashmir,www.gldmdchiranagar.in,2005,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-48766,Government Degree College Jindrah,Jammu,Jammu and Kashmir,https://gdcjindrah.in/,2012,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-61788,Government Degree College Jourian,Jammu,Jammu and Kashmir,www.gdcjourian.co.in,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-63679,Government Degree College Kakryal Katra,Reasi,Jammu and Kashmir,www.gdckatra.in,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-48772,Government Degree College Kalakote,Rajouri,Jammu and Kashmir,https://www.facebook.com/principal.gdckalakote/,2012,Urban,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-48527,Government Degree College Kangan,Ganderbal,Jammu and Kashmir,www.gdckangan.edu.in,2011,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-63676,Government Degree College Kastigarh,Doda,Jammu and Kashmir,www.gdckastigarh.in,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-23011,Government Degree College Kathua,Kathua,Jammu and Kashmir,www.gdckathua.in,1961,Urban,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-21447,Government Degree College KhanSahib Budgam,Budgam,Jammu and Kashmir,,2008,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-48767,Government Degree College Khour,Jammu,Jammu and Kashmir,www.gdckhour.com,2012,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-22990,Government Degree College Kilhotran,Doda,Jammu and Kashmir,www.gdckilhotran.in,2008,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-21449,Government Degree College Killam,Kulgam,Jammu and Kashmir,,2008,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-23016,Government Degree College Kishtwar,Kishtwar,Jammu and Kashmir,www.gdckishtwar.in,1986,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-21431,Government Degree College Kokernag,Anantnag,Jammu and Kashmir,,2008,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-64651,Government Degree College Kralpora,Kupwara,Jammu and Kashmir,www.gdckralpora.edu.in,2019,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-21414,Government Degree College Kulgam,Kulgam,Jammu and Kashmir,www.gdckulgam.edu.in,2004,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-21410,Government Degree College Kupwara,Kupwara,Jammu and Kashmir,www.gdckupwara.edu.in,1988,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-64538,Government Degree College Langate,Kupwara,Jammu and Kashmir,http://gdclangate.edu.in,2019,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-48525,Government Degree College Magam,Budgam,Jammu and Kashmir,,2011,Urban,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-48770,Government Degree College Mahanpur,Kathua,Jammu and Kashmir,www.gdcmahanpur.co.in,2012,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-55850,Government Degree College Majalta,Udhampur,Jammu and Kashmir,WWW.GDCMAJALTA.IN,2016,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-63636,Government Degree College Mandi,Poonch,Jammu and Kashmir,,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-62206,Government Degree College Marh,Jammu,Jammu and Kashmir,https://www.gdcmarh.co.in/,2019,Urban,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-62818,Government Degree College Marheen,Kathua,Jammu and Kashmir,GDCMARHEEN.EDU.IN,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-63922,Government Degree College Mattan,Anantnag,Jammu and Kashmir,www.gdcmattan.ac.in,2019,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-22950,Government Degree College Mendhar,Poonch,Jammu and Kashmir,www.gdcmendhar.ac.in,2005,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-62988,Government Degree College Nagrota,Jammu,Jammu and Kashmir,http://www.gdcnagrota.org,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-63730,Government Degree College Neeli Nallah Udhampur,Udhampur,Jammu and Kashmir,https://www.gdcneelinallah.in,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-22866,Government Degree College Nowshera,Rajouri,Jammu and Kashmir,www.gdcnowshera.co.in,2008,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-22921,Government Degree College Paloura,Jammu,Jammu and Kashmir,https://www.gdcpaloura.in/,2008,Urban,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-48532,Government Degree College Pampore,Pulwama,Jammu and Kashmir,https://gdcpampore.edu.in/Main/Default.aspx,2011,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-21443,Government Degree College Pattan,Baramulla,Jammu and Kashmir,,2005,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-63681,Government Degree College Peeri Kotranka,Rajouri,Jammu and Kashmir,www.gdckotranka.in,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-63677,Government Degree College Pouni,Reasi,Jammu and Kashmir,www.gdcpouni.in,2019,Rural,Affiliated College,University,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-21446,Government Degree College Pulwama,Pulwama,Jammu and Kashmir,,1986,Urban,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-63979,Government Degree College Purmandal,Samba,Jammu and Kashmir,www.gdcpurmandal.in,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-64535,Government Degree College Qazigund,Kulgam,Jammu and Kashmir,gdcqazigund.in,2019,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-22952,Government Degree College R S Pura,Jammu,Jammu and Kashmir,www.gdcrspurajammu.com,2005,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-63599,Government Degree College Rajpora,Pulwama,Jammu and Kashmir,,2019,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
